Type,Entry,Variations,Party,Country,EU,source_file,source_sheet,source_row
Party,The Green Movement,Greens,The Green Movement,Unknown,0,FINAL_NER_2025_17_01/Glossary/Bulgaria_Glossary.xlsx,Glossary,2
Name,Boyko Borissov,"Boyko Borissovv, Boyko Borissov, Borissov, Boyko Borisov, Borisov, B. Borissov, Borssiov, Boyko Borrisov, Boyko Borrissov, Boyko Borisoov, Boyko Borisssov",GERB,Bulgaria,1,FINAL_NER_2025_17_01/Glossary/Bulgaria_Glossary.xlsx,Glossary,3
Party,BSP for Bulgaria,BSP,BSP for Bulgaria,Unknown,0,FINAL_NER_2025_17_01/Glossary/Bulgaria_Glossary.xlsx,Glossary,4
Name,Kornelia Petrova Ninova,"Kornelia Ninova, Ninova",Bulgarian Socialist Party,Bulgaria,1,FINAL_NER_2025_17_01/Glossary/Bulgaria_Glossary.xlsx,Glossary,5
Name,GERB,"GERB, GER$B",GERB–SDS,Unknown,0,FINAL_NER_2025_17_01/Glossary/Bulgaria_Glossary.xlsx,Glossary,6
Party,We Continue the Change – Democratic Bulgaria,"Продължаваме Промяната, PP/DB, България, PP-DB, We Continue the Change-Democratic Bulgaria",We Continue the Change – Democratic Bulgaria,Unknown,0,FINAL_NER_2025_17_01/Glossary/Bulgaria_Glossary.xlsx,Glossary,7
Name,Kiril Petkov,"K. Petkov, Kiril, Kiril Petkov, Kiril Petkow, Petkov",We Continue the Change,Bulgaria,1,FINAL_NER_2025_17_01/Glossary/Bulgaria_Glossary.xlsx,Glossary,8
Name,Asen Vaskov Vasilev,"Assen Vassilev, Asen Wassilev, Asen Vasilev, Asen Vassilev",We Continue The Change,Bulgaria,1,FINAL_NER_2025_17_01/Glossary/Bulgaria_Glossary.xlsx,Glossary,9
Name,Revival,"revival, Revival",Vazrazhdane (Revival),Unknown,0,FINAL_NER_2025_17_01/Glossary/Bulgaria_Glossary.xlsx,Glossary,10
Name,Kostadin Kostadinov,"Kostadin Kostadinoc, K Kostadinov, K. Kostadinov, K. Kostadionov, Kostadin Kostadinov-Revival, Kostadinov, Kostadin Kostadinov",Revival,Bulgaria,1,FINAL_NER_2025_17_01/Glossary/Bulgaria_Glossary.xlsx,Glossary,11
Name,Solidaristic Bulgaria,"Solidarna Bulgaria, Solidaristic BG, Solidarisic Bulgaria, Solidaristic Bulgaria",Solidaristic Bulgaria,Bulgaria,1,FINAL_NER_2025_17_01/Glossary/Bulgaria_Glossary.xlsx,Glossary,12
Name,Maya Manolova,"Maya Manolova, May Manolova, Maya Mnolova, Manolova",Stand Up.BG,Bulgaria,1,FINAL_NER_2025_17_01/Glossary/Bulgaria_Glossary.xlsx,Glossary,13
Name,There Is Such a People,"There is such a people', There is Such People, There is such a people",There is Such a People,Bulgaria,1,FINAL_NER_2025_17_01/Glossary/Bulgaria_Glossary.xlsx,Glossary,14
Name,Stanislav Balabanov,"Stanislav Balabano, Stanislav Balabanov- There is Such People, Balabanov, Stanislav Balabanov",There Is Such a People,Bulgaria,1,FINAL_NER_2025_17_01/Glossary/Bulgaria_Glossary.xlsx,Glossary,15
Name,Mech (Sword),"Sword, Mech, SWORD",Sword,Bulgaria,1,FINAL_NER_2025_17_01/Glossary/Bulgaria_Glossary.xlsx,Glossary,16
Name,Radostin Vasilev,"Radostin Vasssilev, Raodstin Vassilev, Radostin Vasilev, Radostin Vassilev",Independent,Bulgaria,1,FINAL_NER_2025_17_01/Glossary/Bulgaria_Glossary.xlsx,Glossary,17
Name,Hristo Ivanov,"Hr.Ivanov, Hristo Ivanov, H. Ivanov","Yes, Bulgaria!",Bulgaria,1,FINAL_NER_2025_17_01/Glossary/Bulgaria_Glossary.xlsx,Glossary,18
Party,Movement for Rights and Freedoms,DPS,Movement for Rights and Freedoms,Unknown,0,FINAL_NER_2025_17_01/Glossary/Bulgaria_Glossary.xlsx,Glossary,19
Name,Delyan Peevski,"Pevski, Delyan Peevsky, Peevski, Delyan Peevski",Movement for Rights and Freedoms,Bulgaria,1,FINAL_NER_2025_17_01/Glossary/Bulgaria_Glossary.xlsx,Glossary,20
Name,Tsoncho Ganev,"Tzoncho Ganev, Tsontcho Ganev, Tzincho Ganev, Tsoncho Ganev",Revival,Bulgaria,1,FINAL_NER_2025_17_01/Glossary/Bulgaria_Glossary.xlsx,Glossary,21
Name,Rumen Radev,"Rumen Radev, rumen radev",Independent,Bulgaria,1,FINAL_NER_2025_17_01/Glossary/Bulgaria_Glossary.xlsx,Glossary,22
Name,Angel Dzambazki,"Angel Dzambaski, Angel Dvambazki, Angel Dzambazki",VRMO - Bulgarian National Movement,Bulgaria,1,FINAL_NER_2025_17_01/Glossary/Bulgaria_Glossary.xlsx,Glossary,23
Party,Pirate Party,PP,Pirate Party,Unknown,0,FINAL_NER_2025_17_01/Glossary/Bulgaria_Glossary.xlsx,Glossary,24
Party,Democratic Bulgaria,"PP - DB, DB",Democratic Bulgaria,Unknown,0,FINAL_NER_2025_17_01/Glossary/Bulgaria_Glossary.xlsx,Glossary,25
Name,Angel Dzhambazki,"Davambazki, Angel Dzhambaski, Dzhambaski, Angel Djambazki, Angel Dzhambazki, Djambazki, Agnel Djambazki",IMRO – Bulgarian National Movement,Bulgaria,1,FINAL_NER_2025_17_01/Glossary/Bulgaria_Glossary.xlsx,Glossary,26
Name,Nikolay Denkov,"Nikolay Denkov, Denkov, Nikolaj Denkov",We Continue the Change,Bulgaria,1,FINAL_NER_2025_17_01/Glossary/Bulgaria_Glossary.xlsx,Glossary,27
Name,Manol Peykov,"Manol Peykov, Manol peykov, Manl Peykov",We Continue the Change – Democratic Bulgaria,Bulgaria,1,FINAL_NER_2025_17_01/Glossary/Bulgaria_Glossary.xlsx,Glossary,28
Name,Antoaneta Tsoneva,"Antoaneta Tsoneva, Antoaneta Tzoneva",Democratic Bulgaria,Bulgaria,1,FINAL_NER_2025_17_01/Glossary/Bulgaria_Glossary.xlsx,Glossary,29
Name,Ivaylo Mirchev,"Ivailo Mirchev, Ivaylo Mirchev",Democratic Bulgaria,Bulgaria,1,FINAL_NER_2025_17_01/Glossary/Bulgaria_Glossary.xlsx,Glossary,30
Name,Democratic Bulgaria,"Democratic Bulgaria, Democrtaic Bulgaria, We continue the change -Democratic Bulgaria",We Continue the Change – Democratic Bulgaria,Unknown,0,FINAL_NER_2025_17_01/Glossary/Bulgaria_Glossary.xlsx,Glossary,31
Name,Petar Volgin,"Volgin, Petar Volgin, Peter Volgin",Revival,Bulgaria,1,FINAL_NER_2025_17_01/Glossary/Bulgaria_Glossary.xlsx,Glossary,32
Name,Kuzman Iliev,Kuzman Iliev,Independent candidate Kuzman Iliev,Unknown,0,FINAL_NER_2025_17_01/Glossary/Bulgaria_Glossary.xlsx,Glossary,33
Name,Bulgaria Can,"Movement Bulgaria can, Bulgaria can!, Bulgaria can",Bulgaria Can Party,Bulgaria,1,FINAL_NER_2025_17_01/Glossary/Bulgaria_Glossary.xlsx,Glossary,34
Name,Boyko Rashkov,Boyko Rashkov,We Continue the Change,Bulgaria,1,FINAL_NER_2025_17_01/Glossary/Bulgaria_Glossary.xlsx,Glossary,35
Name,We Continue the Change,"We Continue the Change, We continue the change",We Continue the Change – Democratic Bulgaria,Unknown,0,FINAL_NER_2025_17_01/Glossary/Bulgaria_Glossary.xlsx,Glossary,36
Name,Roumen Gechev,Roumen Gechev,Bulgarian Socialist Party,Bulgaria,1,FINAL_NER_2025_17_01/Glossary/Bulgaria_Glossary.xlsx,Glossary,37
Name,Tatyana Doncheva,Tatyana Doncheva,Movement 21,Bulgaria,1,FINAL_NER_2025_17_01/Glossary/Bulgaria_Glossary.xlsx,Glossary,38
Name,Levitsata,"Levitzata, Tatyana Doncheva- Levitsata",Levitsata,Bulgaria,1,FINAL_NER_2025_17_01/Glossary/Bulgaria_Glossary.xlsx,Glossary,39
Name,Vanya Georgieva,Vanya Georgieva,Bulgarian Socialist Party,Bulgaria,1,FINAL_NER_2025_17_01/Glossary/Bulgaria_Glossary.xlsx,Glossary,40
Name,Slavi Trifonov,Slavi Trifonov,There Is Such a People,Bulgaria,1,FINAL_NER_2025_17_01/Glossary/Bulgaria_Glossary.xlsx,Glossary,41
Name,Todor Zhivkov,Todor Zhivkov,Bulgarian Communist Party,Bulgaria,1,FINAL_NER_2025_17_01/Glossary/Bulgaria_Glossary.xlsx,Glossary,42
Name,Bulgarian Socialist Party,"Bulgarian Socialist Party, socialist Bulgaria",Bulgarian Socialist Party,Bulgaria,1,FINAL_NER_2025_17_01/Glossary/Bulgaria_Glossary.xlsx,Glossary,43
Party,Communist Party of Finland,communist party,Communist Party of Finland,Unknown,0,FINAL_NER_2025_17_01/Glossary/Bulgaria_Glossary.xlsx,Glossary,44
Name,Nikolay Markov,"col. Markov, colonel Nikolay Markov, colonel Markov, col. markov, Nikolya Markov, Nikolay Markov- Velichie, Markov, Nikolay Markov",Velichie,Bulgaria,1,FINAL_NER_2025_17_01/Glossary/Bulgaria_Glossary.xlsx,Glossary,45
