Type,Entry,Variations,Party,Country,EU,source_file,source_sheet,source_row
Name,Karolina Vidović Krišto,Karolina Vidović Krišto,Determination and Justice,Croatia,1,FINAL_NER_2025_17_01/Glossary/Croatia_Glossary.xlsx,Glossary,2
Party,Homeland Movement,"Homeland Movement, Domovinski Pokret, Homeland movement, Domovinski pokret",Homeland Movement,Unknown,0,FINAL_NER_2025_17_01/Glossary/Croatia_Glossary.xlsx,Glossary,3
Party,Ričard Independent,Ričard,Ričard Independent,Unknown,0,FINAL_NER_2025_17_01/Glossary/Croatia_Glossary.xlsx,Glossary,4
Name,Andrej Plenković,"Andrej Plenkovič, Andrej Plenković",Croatian Democratic Union,Croatia,1,FINAL_NER_2025_17_01/Glossary/Croatia_Glossary.xlsx,Glossary,5
Name,Zoran Milanović,"Zoran Milanović, Zoran Milanovć",Social Democratic Party of Croatia,Croatia,1,FINAL_NER_2025_17_01/Glossary/Croatia_Glossary.xlsx,Glossary,6
Party,Croatian Democratic Union,"HDZ, Croatian Democratic Union",Croatian Democratic Union,Unknown,0,FINAL_NER_2025_17_01/Glossary/Croatia_Glossary.xlsx,Glossary,7
Name,Nino Raspudić,Nino Raspudić,The Bridge,Croatia,1,FINAL_NER_2025_17_01/Glossary/Croatia_Glossary.xlsx,Glossary,8
Name,Nina Skočak,Nina Skočak,Independent list of Nina Skočak,Unknown,0,FINAL_NER_2025_17_01/Glossary/Croatia_Glossary.xlsx,Glossary,9
Party,We can!,"Možemo, Možemo!",We can!,Unknown,0,FINAL_NER_2025_17_01/Glossary/Croatia_Glossary.xlsx,Glossary,10
Party,Workers' Front,"Radnička Fronta, RF, Radnička fronta",Workers' Front,Unknown,0,FINAL_NER_2025_17_01/Glossary/Croatia_Glossary.xlsx,Glossary,11
Name,Katarina Peović,Katarina Peović,Workers’ Front,Croatia,1,FINAL_NER_2025_17_01/Glossary/Croatia_Glossary.xlsx,Glossary,12
