Type,Entry,Variations,Party,Country,EU,source_file,source_sheet,source_row
Name,Sebastian Tynkkynen,Sebastian Tynkkynen,Perussuomalaiset,Unknown,0,FINAL_NER_2025_17_01/Glossary/Finland_Glossary.xlsx,Glossary,2
Party,Finns Party,"PS nuoret, Perussiomalaiset, Finns Party, PS, PS Nuoret, ps, Finns party",Finns Party,Unknown,0,FINAL_NER_2025_17_01/Glossary/Finland_Glossary.xlsx,Glossary,3
Party,National Coalition Party,"Kokoomus, kokoomus, kok, national coalition, National Coalition",National Coalition Party,Unknown,0,FINAL_NER_2025_17_01/Glossary/Finland_Glossary.xlsx,Glossary,4
Name,Yannick Lahti,Yannick Lahti,Others,Finland,1,FINAL_NER_2025_17_01/Glossary/Finland_Glossary.xlsx,Glossary,5
Name,Riikka Purra,"Riikka Purra, Purra",Finns Party,Finland,1,FINAL_NER_2025_17_01/Glossary/Finland_Glossary.xlsx,Glossary,6
Name,Petteri Orpo,"orpo, Orpo, Petteri Orpo",National Coalition Party,Finland,1,FINAL_NER_2025_17_01/Glossary/Finland_Glossary.xlsx,Glossary,7
Name,Matti Rönkä,Matti Rönkä,Others,Finland,1,FINAL_NER_2025_17_01/Glossary/Finland_Glossary.xlsx,Glossary,8
Name,YLE,YLE,Others,Finland,1,FINAL_NER_2025_17_01/Glossary/Finland_Glossary.xlsx,Glossary,9
Name,Timo Vornanen,"Vornanen, Timo Vornanen, vornanen",Finns Party,Finland,1,FINAL_NER_2025_17_01/Glossary/Finland_Glossary.xlsx,Glossary,10
Name,Henna Virkkunen,"Henna Virkkunen, Virkkunen",National Coalition Party,Finland,1,FINAL_NER_2025_17_01/Glossary/Finland_Glossary.xlsx,Glossary,11
Name,Li Andersson,"Li Andresson, Andersson, Li Andersson, LI, andersson",Vasemmistoliitto,Unknown,0,FINAL_NER_2025_17_01/Glossary/Finland_Glossary.xlsx,Glossary,12
Party,Green League,"vihr, vihreät, Haminanseudun vihreät, Vihreät, Helsingin vihreät nuoret",Green League,Unknown,0,FINAL_NER_2025_17_01/Glossary/Finland_Glossary.xlsx,Glossary,13
Party,,,,Unknown,0,FINAL_NER_2025_17_01/Glossary/Finland_Glossary.xlsx,Glossary,14
Name,Piia Viitanen,Piia Viitanen,Social Democratic Party of Finland,Unknown,0,FINAL_NER_2025_17_01/Glossary/Finland_Glossary.xlsx,Glossary,15
Party,Social Democratic Party of Finland,"Finland, SDP",Social Democratic Party of Finland,Unknown,0,FINAL_NER_2025_17_01/Glossary/Finland_Glossary.xlsx,Glossary,16
Name,Alexander Stubb,"Stubb, Alex Stubb, Alexander Stubb",Perussuomalaiset,Unknown,0,FINAL_NER_2025_17_01/Glossary/Finland_Glossary.xlsx,Glossary,17
Party,Left Alliance,"Vasemmistoliitto, vas",Left Alliance,Unknown,0,FINAL_NER_2025_17_01/Glossary/Finland_Glossary.xlsx,Glossary,18
Name,Hjallis Harkimo,Hjallis Harkimo,Movement Now ,Finland,1,FINAL_NER_2025_17_01/Glossary/Finland_Glossary.xlsx,Glossary,19
Name,Timo Huhtamäki,Timo Huhtamäki,Others,Finland,1,FINAL_NER_2025_17_01/Glossary/Finland_Glossary.xlsx,Glossary,20
Name,Antti Lindtman,"Antti Lindtman, Antti Lindström, Lindtman",Social Democratic Party of Finland,Unknown,0,FINAL_NER_2025_17_01/Glossary/Finland_Glossary.xlsx,Glossary,21
Name,Ville Niinistö,Ville Niinistö,The Green League,Unknown,0,FINAL_NER_2025_17_01/Glossary/Finland_Glossary.xlsx,Glossary,22
Party,Centre Party,"Kesk, Keskusta",Centre Party,Unknown,0,FINAL_NER_2025_17_01/Glossary/Finland_Glossary.xlsx,Glossary,23
Name,Sofia Virta,"Virta Sofia, Sofia Virta, VIrta",The Green League,Unknown,0,FINAL_NER_2025_17_01/Glossary/Finland_Glossary.xlsx,Glossary,24
Name,Ville Merinen,"Ville, Ville Merinen, Terapeutti Ville",Others,Finland,1,FINAL_NER_2025_17_01/Glossary/Finland_Glossary.xlsx,Glossary,25
Name,Timo Harakka,Timo Harakka,Social Democratic Party of Finland,Unknown,0,FINAL_NER_2025_17_01/Glossary/Finland_Glossary.xlsx,Glossary,26
Name,Anna Kontula,Anna Kontula,Left Alliance,Finland,1,FINAL_NER_2025_17_01/Glossary/Finland_Glossary.xlsx,Glossary,27
Name,Nasima Razmyar,Nasima Razmyar,Social Democratic Party of Finland,Unknown,0,FINAL_NER_2025_17_01/Glossary/Finland_Glossary.xlsx,Glossary,28
Name,Yanis Varoufakis,"Yanis Varoufakis, Varoufakis",MeRA 25,Greece,1,FINAL_NER_2025_17_01/Glossary/Finland_Glossary.xlsx,Glossary,29
Name,Clare Daly,"Clare Daly, Claire Daly",IndependentS 4 Change,Ireland,1,FINAL_NER_2025_17_01/Glossary/Finland_Glossary.xlsx,Glossary,30
Name,Timo Suhonen,Timo Suhonen,Social Democratic Party of Finland,Unknown,0,FINAL_NER_2025_17_01/Glossary/Finland_Glossary.xlsx,Glossary,31
Name,Oras Tynkkynen,"Oras Tynkkynen, Tynkkynen",Green League,Finland,1,FINAL_NER_2025_17_01/Glossary/Finland_Glossary.xlsx,Glossary,32
Name,Viktor Orban,"Orban, Viktor Orban",Fidesz,Hungary,1,FINAL_NER_2025_17_01/Glossary/Finland_Glossary.xlsx,Glossary,33
Name,Halla-Aho,"Halla-Aho, Jussi Halla-aho, Jussi Halla-Aho",Finns Party,Finland,1,FINAL_NER_2025_17_01/Glossary/Finland_Glossary.xlsx,Glossary,34
Name,Donald Trump,"Trump, Trump jr.",Republican Party,United States,0,FINAL_NER_2025_17_01/Glossary/Finland_Glossary.xlsx,Glossary,35
Name,Vladimir Putin,"Vladimir Putin, Putin",United Russia,Russia,0,FINAL_NER_2025_17_01/Glossary/Finland_Glossary.xlsx,Glossary,36
Name,Miina-Anniina Heiskanen,"Heiskanen, Miina-Anniina Heiskanen",Social Democratic Party of Finland,Unknown,0,FINAL_NER_2025_17_01/Glossary/Finland_Glossary.xlsx,Glossary,37
Name,Bernie Sanders,"Bernie Sanders, Bernie, Sanders",Independent,Finland,1,FINAL_NER_2025_17_01/Glossary/Finland_Glossary.xlsx,Glossary,38
Name,Harry Harkimo,"Harry Harkimo, Harkimo",Movement Now,Finland,1,FINAL_NER_2025_17_01/Glossary/Finland_Glossary.xlsx,Glossary,39
Name,Ursula von der Leyen,"Ursula Von der Leyen, von der Leyen, Ursula von der Leyen, von de Leyen, Ursula van den Leyen",Christian Democratic Union,Germany,1,FINAL_NER_2025_17_01/Glossary/Finland_Glossary.xlsx,Glossary,40
Name,Antti Kaikkonen,"Antti Kaikkonen, Kaikkonen",Centre Party,Finland,1,FINAL_NER_2025_17_01/Glossary/Finland_Glossary.xlsx,Glossary,41
Name,Max Chandler Mather,Max Chandler Mather,Australia Greens,Australia,0,FINAL_NER_2025_17_01/Glossary/Finland_Glossary.xlsx,Glossary,42
Name,Joe Biden,"Joe Biden, Biden, Biden Harris",Democratic Party,United States,0,FINAL_NER_2025_17_01/Glossary/Finland_Glossary.xlsx,Glossary,43
Name,Valtteri Jussila,Valtteri Jussila,Others,Finland,1,FINAL_NER_2025_17_01/Glossary/Finland_Glossary.xlsx,Glossary,44
Name,Maria Ohisalo,"Maria Ohisalo, Ohisalo",Green League,Finland,1,FINAL_NER_2025_17_01/Glossary/Finland_Glossary.xlsx,Glossary,45
Name,Juhani Lohikoski,"Juhani Lohikoski, Lohikoski",Left Alliance,Finland,1,FINAL_NER_2025_17_01/Glossary/Finland_Glossary.xlsx,Glossary,46
Name,Aleksanteri Gustafsson,"Aleksanteri Gustafsson, Aleksanteri Gustaffson, Gustafsson",Social Democratic Party of Finland,Unknown,0,FINAL_NER_2025_17_01/Glossary/Finland_Glossary.xlsx,Glossary,47
Name,Jussi Saramo,"Saramo, Jussi Saramo",Left Alliance,Finland,1,FINAL_NER_2025_17_01/Glossary/Finland_Glossary.xlsx,Glossary,48
