Type,Entry,Variations,Party,Country,EU,source_file,source_sheet,source_row
Name,Emmanuel Macron,"Aymeric Emmanuel Macron, Emmanuel Macron, macron, Emanuel Macron, Macron, E Macron",Renaissance,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,2
Name,Marine Le Pen,"Marine Maréchal Le Pen, Marine le Pen, Marine Le Pen",National Rally,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,3
Name,François Hollande,"François Hollande, Hollande",Socialist Party,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,4
Name,Manon Aubry,"Manon Aurbry, Mano Aubry, Manon Aubry, Mamon Aubry, Manon aubry, Manon Aubery, Manon Aurby, Audray Manon, Aubry",France Unbowed,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,5
Name,Manuel Bompard,"Bompardb, Manuel Bompard, Bompard, Manuel Bomard, Manuel Bombard, Bompart",La France Insoumise,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,6
Name,Jean-Luc Mélenchon,"jL Melenchon, J L Melenchon, JL Melemchon, Jean Luc Mélenchon, Jl Melanchon, JM Melenchon, Jl Melenchon, JL Melanchon, Jean Luc Melenchon, Jean-Luc Mélenchon, JL Melenchon, Mélenchon, Jean-Luck Mélenchon",France Unbowed,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,7
Name,Louis Boyard,"louis Boyard, Boyard, Luois Boyard, Louis Broyard, Louis Boyars, Luis Boyard, Louid Boyard, Louis Boyard",La France Insoumise,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,8
Name,Nicolas Sarkozy,"Nikolas Sacrozy, Nicolas Sarcozy, Nikolas Sarkozy, Nikola Sqrkozy, Sarkozy, Nicolas Sarkozy",The Republicans,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,9
Name,François-Xavier Bellamy,"bellamy, Bellamy, Fx Bellamy, François-Xavier Bellamy, X Bellamy, François Xavier Bellamy, FX Bellamy",The Republicans,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,10
Name,Jean Marc Zulesi,Jean Marc Zulesi,Renaissance,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,11
Name,Vladimir Putin,"Vladimir Poutine, V. Putin, Vladimir Putin, Vladimir Putine, Putin",United Russia,Russia,0,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,12
Name,Gabriel Attal,"Gavbiel Attal, Gagriel Attal, gabriel attal, Attal, Gabriel Attal, Gabrial Attal, Gabtiel Attal, G Attal",La République En Marche!,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,13
Name,Jacques Attali,Jacque Attali,Others,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,14
Party,,,,Unknown,0,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,15
Name,Yaël Braun-Pivet,"Yaël Braun-Pivet, Yael Braun-Pivet",Renaissance,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,16
Name,Benjamin Netanyahu,Netanyahu,Likud,Israel,0,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,17
Name,Rima Hassan,"rima hassan, Rima Hassan",France Unbowed,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,18
Name,Xi Jinping,Xi Jinping,Communist Party of China,China,0,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,19
Name,Jordan Bardella,"Jordna Bardella, Jordan Badrella, Jondan Bardella, Bordella, Jorndan Bardella, Jodran Bardella, Jordan Bardella, Bardella, Jordan Bardellq, Jordnan Bardella, Bardellat, Jordql Barldella",National Rally,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,20
Name,Aymeric Caron,"Aymeric Caron, Caron Aymeric Manuel Bompard, Aymric Caron",Ecological Revolution for the Living,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,21
Name,Bruno Le Maire,"Bruno LeMaire, Bruno Le Maire",Renaissance,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,22
Name,Jean-Marie Le Pen,"Le pen, Jean Marie Le Pen, Le Pen",Comités Jeanne,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,23
Name,Léon Deffontaines,"Leffontaines, Léon Deffontaines, Deffontaines, Leon Deffontaines, Leon Defontaines, Leon Deffonaine, Leon Deffontaine",French Communist Party,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,24
Name,Valérie Hayer,"Valérie Hayer, Velerie Hayer, Vaérie Hayer, Valerie Heyer, Hayer, Valerie Hqyer, Valery Hayer, Valerie Hayer",Renaissance,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,25
Name,Éric Zemmour,"Eric Zemmour, Zemmour, Zemoour, Eric Zemoour",Reconquest,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,26
