Type,Entry,Variations,Party,Country,EU,source_file,source_sheet,source_row
Name,Antoni Macierewicz,"Macierewicz, Macieriewicz, Antoni Macierewicz",Prawo i Sprawiedliwość,Poland,1,FINAL_NER_2025_17_01/Glossary/Poland_Glossary.xlsx,Glossary,2
Name,Jarosław Kaczyński,"Jaroslaw Kaczynski, Kaczyński, J. Kaczyński",Law and Justice,Poland,1,FINAL_NER_2025_17_01/Glossary/Poland_Glossary.xlsx,Glossary,3
Name,Donald Tusk,"Tusk, Donald Tusk, D. Tusk",Civic Platform Party,Poland,1,FINAL_NER_2025_17_01/Glossary/Poland_Glossary.xlsx,Glossary,4
Name,Jarosław Kaczynski,Kaczynski,Law and Justice,Poland,1,FINAL_NER_2025_17_01/Glossary/Poland_Glossary.xlsx,Glossary,5
Party,Law and Justice,"Prawo i Sprawiedliwolść, Lawn and Justice, PiS, Prawo i Sprawiedliwość, Law and Justice",Law and Justice,Unknown,0,FINAL_NER_2025_17_01/Glossary/Poland_Glossary.xlsx,Glossary,6
Party,Confederation,"Konfederacja Obywatelska, Confederation, Konfederacja",Confederation,Unknown,0,FINAL_NER_2025_17_01/Glossary/Poland_Glossary.xlsx,Glossary,7
Name,Andrzej Duda,"Andrzej Duda, Duda",Law and Justice,Poland,1,FINAL_NER_2025_17_01/Glossary/Poland_Glossary.xlsx,Glossary,8
Name,Mateusz Morawiecki,"M. Morawiecki, Mateusz Morawiecki, Morawiecka, Morawiecki",Prawo i Sprawiedliwość,Poland,1,FINAL_NER_2025_17_01/Glossary/Poland_Glossary.xlsx,Glossary,9
Name,Dominik Tarczyński,"Tarczyńska, Domink Tarczynski, Tarczyński, Dominik Tarczynski",Law and Justice,Poland,1,FINAL_NER_2025_17_01/Glossary/Poland_Glossary.xlsx,Glossary,10
Name,Robert Biedroń,"Biedroń, Robert Biedroń, Roberta Biedron, Robert Biedron",The Left,Poland,1,FINAL_NER_2025_17_01/Glossary/Poland_Glossary.xlsx,Glossary,11
Name,Kamila Gasiuk-Pihowicz,"Gasiuk-Pichowicz, Gasiuk Pihowicz, K. Gasiuk-Pihowicz, Kamila Gasiuk-Pihowicz",Civic Platform,Poland,1,FINAL_NER_2025_17_01/Glossary/Poland_Glossary.xlsx,Glossary,12
Name,Slawomir Mentzen,"Slawomir Mentzen, Mentzen",Confederation Liberty and Independence ,Poland,1,FINAL_NER_2025_17_01/Glossary/Poland_Glossary.xlsx,Glossary,13
Name,Ewa Zajaczkowska-Hernik,"Zajaczkowska, Ewa Zajaczkowska-Hernik, Zajączkowska, E. Zajączkowska, Ewa Zajaczkowska",Nowa Nadzieja,Poland,1,FINAL_NER_2025_17_01/Glossary/Poland_Glossary.xlsx,Glossary,14
Name,Grzegorz Braun,"Grzegorz Braun, Braun, G. Braun",Confederation Liberty and Independence,Poland,1,FINAL_NER_2025_17_01/Glossary/Poland_Glossary.xlsx,Glossary,15
Party,New Left,Lewica,New Left,Unknown,0,FINAL_NER_2025_17_01/Glossary/Poland_Glossary.xlsx,Glossary,16
Name,Joanna Kamińska,"Joanna Kaminska, Kamińska",Civic Coalition,Poland,1,FINAL_NER_2025_17_01/Glossary/Poland_Glossary.xlsx,Glossary,17
Name,Krzysztof Brejza,"Krzysztof Brejza, K. Brejza",Civic Coalition,Poland,1,FINAL_NER_2025_17_01/Glossary/Poland_Glossary.xlsx,Glossary,18
Name,Szymon Holownia,"Szymon Holownia, Holownia",Polska 2050,Poland,1,FINAL_NER_2025_17_01/Glossary/Poland_Glossary.xlsx,Glossary,19
Name,Anna Gembicka,Gembicka,Prawo i Sprawiedliwość,Poland,1,FINAL_NER_2025_17_01/Glossary/Poland_Glossary.xlsx,Glossary,20
Name,Przemysław Czarnek,Czarnek,Prawo i Sprawiedliwość,Poland,1,FINAL_NER_2025_17_01/Glossary/Poland_Glossary.xlsx,Glossary,21
Name,Grzegorz Schetyna,Schetyna,Platforma Obywatelska,Poland,1,FINAL_NER_2025_17_01/Glossary/Poland_Glossary.xlsx,Glossary,22
Name,Donald Trump,Trump,Republican Party,United States,0,FINAL_NER_2025_17_01/Glossary/Poland_Glossary.xlsx,Glossary,23
Name,Aleksandra Wiśniewska,"Wiśniewska, Aleksandra Wisniewska",Civic Coalition,Poland,1,FINAL_NER_2025_17_01/Glossary/Poland_Glossary.xlsx,Glossary,24
Name,Maria Niklinska,Maria Niklinska,Third Way,Poland,1,FINAL_NER_2025_17_01/Glossary/Poland_Glossary.xlsx,Glossary,25
Name,Patryk Jaki,"P. Jaki, Jaki, Patryk Jaki",Law and Justice,Poland,1,FINAL_NER_2025_17_01/Glossary/Poland_Glossary.xlsx,Glossary,26
Name,Mariusz Gosek,Gosek,Prawo i Sprawiedliwość,Poland,1,FINAL_NER_2025_17_01/Glossary/Poland_Glossary.xlsx,Glossary,27
Name,Rafał Trzaskowski,"Trzkawski, Trzaskowski",Civic Platform,Poland,1,FINAL_NER_2025_17_01/Glossary/Poland_Glossary.xlsx,Glossary,28
Name,Krzysztof Bosak,"Bosak, Krzysztof Bosak, K. Bosak",Confederation Liberty and Independence,Poland,1,FINAL_NER_2025_17_01/Glossary/Poland_Glossary.xlsx,Glossary,29
Name,Janusz Kowalski,Kowalski,Prawo i Sprawiedliwość,Poland,1,FINAL_NER_2025_17_01/Glossary/Poland_Glossary.xlsx,Glossary,30
Name,Konrad Berkowicz,"Berkowicz, K Berkowicz, K. Berkowicz, Bierkowicz, Konrad Berkowicz",Confederation Liberty and Independence,Poland,1,FINAL_NER_2025_17_01/Glossary/Poland_Glossary.xlsx,Glossary,31
Name,Civic Coalition,"Zieloni/KO, KO, Civic Coalition, Zieloni",The Greens,Unknown,0,FINAL_NER_2025_17_01/Glossary/Poland_Glossary.xlsx,Glossary,32
Name,Civic Coalition,"Zieloni/KO, KO, Civic Coalition, Zieloni",Civic Coalition,Poland,1,FINAL_NER_2025_17_01/Glossary/Poland_Glossary.xlsx,Glossary,33
Party,Left Together,Razem,Left Together,Unknown,0,FINAL_NER_2025_17_01/Glossary/Poland_Glossary.xlsx,Glossary,34
Name,Elżbieta Anna Polak,Elzbieta Anna Polak,Civic Coalition,Poland,1,FINAL_NER_2025_17_01/Glossary/Poland_Glossary.xlsx,Glossary,35
Name,Adrian Zandberg,Adrian Zandberg,The Left,Poland,1,FINAL_NER_2025_17_01/Glossary/Poland_Glossary.xlsx,Glossary,36
Name,Andrzej Halicki,"Andrzej Halicki, A. Halicki",Civic Coalition,Poland,1,FINAL_NER_2025_17_01/Glossary/Poland_Glossary.xlsx,Glossary,37
Party,,,,Unknown,0,FINAL_NER_2025_17_01/Glossary/Poland_Glossary.xlsx,Glossary,38
Name,Volodymyr Zelenskyy,Zelensky,Servant of the People,Ukraine,0,FINAL_NER_2025_17_01/Glossary/Poland_Glossary.xlsx,Glossary,39
Name,Ursula von der Leyen,"von der Leyen, U. Von der Leyen",Christian Democratic Union,Germany,1,FINAL_NER_2025_17_01/Glossary/Poland_Glossary.xlsx,Glossary,40
Name,Vladimir Putin,Putin,United Russia,Russia,0,FINAL_NER_2025_17_01/Glossary/Poland_Glossary.xlsx,Glossary,41
Name,Angela Merkel,Merkel,Christian Democratic Union,Germany,1,FINAL_NER_2025_17_01/Glossary/Poland_Glossary.xlsx,Glossary,42
Name,Mariusz Krystian,Krystian,Prawo i Sprawiedliwość,Poland,1,FINAL_NER_2025_17_01/Glossary/Poland_Glossary.xlsx,Glossary,43
Name,Beata Szydło,"Beata Szydło, B. Szydło, Szydło",Law and Justice,Poland,1,FINAL_NER_2025_17_01/Glossary/Poland_Glossary.xlsx,Glossary,44
Name,Szymon Hołownia,"Sz. Hołownia, S. Hołownia, Hołowna, Hołownia",Polska 2050,Poland,1,FINAL_NER_2025_17_01/Glossary/Poland_Glossary.xlsx,Glossary,45
Name,Jacek Ozdoba,Ozdoba,Law and Justice,Poland,1,FINAL_NER_2025_17_01/Glossary/Poland_Glossary.xlsx,Glossary,46
Name,Sebastian Kaleta,"Kaleta, S. Kaleta",Law and Justice,Poland,1,FINAL_NER_2025_17_01/Glossary/Poland_Glossary.xlsx,Glossary,47
Name,Radosław Sikorski,"Radowslaw Sikorski, Sikorski, Radoslaw Sikorski, Radosław Sikorski, R. Sikorski",Civic Coalition,Poland,1,FINAL_NER_2025_17_01/Glossary/Poland_Glossary.xlsx,Glossary,48
Name,Stanisław Tyszka,"S. Tyszka, Tyszka",Confederation Liberty and Independence ,Poland,1,FINAL_NER_2025_17_01/Glossary/Poland_Glossary.xlsx,Glossary,49
Name,Mariusz Kamiński,"Kamiński, K. Kamiński",Law and Justice,Poland,1,FINAL_NER_2025_17_01/Glossary/Poland_Glossary.xlsx,Glossary,50
Name,Borys Budka,"Budka, Borys Budka, B. Budka",Civic Coalition,Poland,1,FINAL_NER_2025_17_01/Glossary/Poland_Glossary.xlsx,Glossary,51
Name,Civic Platform,Civic Platform,Civic Platform,Unknown,0,FINAL_NER_2025_17_01/Glossary/Poland_Glossary.xlsx,Glossary,52
Party,Sovereign Poland,"Suwerenna Polska, Sovereign Poland, Surerenna Polska",Sovereign Poland,Unknown,0,FINAL_NER_2025_17_01/Glossary/Poland_Glossary.xlsx,Glossary,53
