Type,Entry,Variations,Party,Country,EU,source_file,source_sheet,source_row
Name,André Ventura,"Andè Ventura, André Vetura, Andrè Ventura, André Ventura, Andre Ventura, André Ventuta, Andrè ventura",Enough,Portugal,1,FINAL_NER_2025_17_01/Glossary/Portugal_Glossary.xlsx,Glossary,2
Name,Bloco de Esquerda,"Blocco de Esquerda, Bloco de Esquerda, Bloco Esquerda",Left Bloc,Portugal,1,FINAL_NER_2025_17_01/Glossary/Portugal_Glossary.xlsx,Glossary,3
Name,Partido Socialista,Partido Socialista,Socialist Party,Portugal,1,FINAL_NER_2025_17_01/Glossary/Portugal_Glossary.xlsx,Glossary,4
Name,Chega!,"Chega, Partido Chega, Chega!",CHEGA!,Unknown,0,FINAL_NER_2025_17_01/Glossary/Portugal_Glossary.xlsx,Glossary,5
Name,Nova Direita,Nova Direita,New Right,Portugal,1,FINAL_NER_2025_17_01/Glossary/Portugal_Glossary.xlsx,Glossary,6
Name,Joe Biden,Joe Biden,Democratic Party,United States,0,FINAL_NER_2025_17_01/Glossary/Portugal_Glossary.xlsx,Glossary,7
Name,Barack Obama,Obama,Democratic Party,United States,0,FINAL_NER_2025_17_01/Glossary/Portugal_Glossary.xlsx,Glossary,8
Name,Donald Trump,"Trump, Donald Trump",Republican Party,United States,0,FINAL_NER_2025_17_01/Glossary/Portugal_Glossary.xlsx,Glossary,9
Name,Hillary Clinton,Hillary Clinton,Democratic Party,United States,0,FINAL_NER_2025_17_01/Glossary/Portugal_Glossary.xlsx,Glossary,10
Name,Lula da Silva,"Lula, Luiz Inácio Lula da Silva, Lula Da Silva",Workers' Party,Brazil,0,FINAL_NER_2025_17_01/Glossary/Portugal_Glossary.xlsx,Glossary,11
Name,Marta Temido,"Marta Temido, TEmido",Socialist Party,Portugal,1,FINAL_NER_2025_17_01/Glossary/Portugal_Glossary.xlsx,Glossary,12
Name,João Galamba,João Galamba,Socialist Party,Portugal,1,FINAL_NER_2025_17_01/Glossary/Portugal_Glossary.xlsx,Glossary,13
Party,,,,Unknown,0,FINAL_NER_2025_17_01/Glossary/Portugal_Glossary.xlsx,Glossary,14
Name,Partido Social Democrata (PSD),PSD,Social Democratic Party,Portugal,1,FINAL_NER_2025_17_01/Glossary/Portugal_Glossary.xlsx,Glossary,15
Name,Pedro Nuno Santos,"Nuno Santos, Pedro Nuno Santos",Socialist Party,Portugal,1,FINAL_NER_2025_17_01/Glossary/Portugal_Glossary.xlsx,Glossary,16
Name,Sebastião Bugalho,"Sebastião Bugaglho, Bugalho, Sebastiao Bugalho, Sebastião Bubalho, Sebastião Bugalho",Democratic Alliance,Portugal,1,FINAL_NER_2025_17_01/Glossary/Portugal_Glossary.xlsx,Glossary,17
Party,Democratic Alliance,AD,Democratic Alliance,Unknown,0,FINAL_NER_2025_17_01/Glossary/Portugal_Glossary.xlsx,Glossary,18
Name,Antony Blinken,Blinken,Democratic Party,United States,0,FINAL_NER_2025_17_01/Glossary/Portugal_Glossary.xlsx,Glossary,19
Name,Marcelo Rebelo de Sousa,"Marcelo Rebelo de Souza, Marcelo Rebelo de Sousa",Social Democratic Party,Portugal,1,FINAL_NER_2025_17_01/Glossary/Portugal_Glossary.xlsx,Glossary,20
Party,Socialist Party,PS,Socialist Party,Unknown,0,FINAL_NER_2025_17_01/Glossary/Portugal_Glossary.xlsx,Glossary,21
Name,Carlos Moedas,"Carlos Moedas, Carlos Manuel Félix Moedas",Social Democratic Party,Portugal,1,FINAL_NER_2025_17_01/Glossary/Portugal_Glossary.xlsx,Glossary,22
Name,João Cotrim de Figueiredo,"João Cotrim de Figueiredo, Joao Cotrim Figueiredo, João Contrim de Figueiredo, João Cotrim Figueiredo, João Cotrim, Cotrim",Liberal Initiative,Portugal,1,FINAL_NER_2025_17_01/Glossary/Portugal_Glossary.xlsx,Glossary,23
Party,Liberal Initiative,IL,Liberal Initiative,Unknown,0,FINAL_NER_2025_17_01/Glossary/Portugal_Glossary.xlsx,Glossary,24
Name,Luís Montenegro,"Luis Montenegro, Luís Montenegro, Montenegro",Social Democratic Party,Portugal,1,FINAL_NER_2025_17_01/Glossary/Portugal_Glossary.xlsx,Glossary,25
Name,Catarina Martins,Catarina Martins,Left Block,Portugal,1,FINAL_NER_2025_17_01/Glossary/Portugal_Glossary.xlsx,Glossary,26
Name,Cristina Mortágua,"Cristina Mortágua, Mortágua",Left Block,Portugal,1,FINAL_NER_2025_17_01/Glossary/Portugal_Glossary.xlsx,Glossary,27
Name,Rita Maria Matias,"Rita Maria Matias, Rita Matias",Enough,Portugal,1,FINAL_NER_2025_17_01/Glossary/Portugal_Glossary.xlsx,Glossary,28
Name,Rui Tavares,"rui Tavares, Rui Tavares",Free,Portugal,1,FINAL_NER_2025_17_01/Glossary/Portugal_Glossary.xlsx,Glossary,29
Name,Partido Livre,Livre,LIVRE,Unknown,0,FINAL_NER_2025_17_01/Glossary/Portugal_Glossary.xlsx,Glossary,30
Name,Mariana Mortágua,"Mariana Mortágua, Mariana Mortagua, MAriana Mortagua, Marianna Mortagua, Marriana Mortagua",Left Block,Portugal,1,FINAL_NER_2025_17_01/Glossary/Portugal_Glossary.xlsx,Glossary,31
Name,Partido Comunista Português (PCP),PCP,Portuguese Communist Party,Portugal,1,FINAL_NER_2025_17_01/Glossary/Portugal_Glossary.xlsx,Glossary,32
Name,António Filipe,António Filipe,Portuguese Communist Party,Portugal,1,FINAL_NER_2025_17_01/Glossary/Portugal_Glossary.xlsx,Glossary,33
Name,Iniciativa Liberal,"iniciativa liberal, Iniciativa Liberal",Liberal Initiative,Portugal,1,FINAL_NER_2025_17_01/Glossary/Portugal_Glossary.xlsx,Glossary,34
Name,Patricia Gilvaz,Patricia Gilvaz,Liberal Initiative,Portugal,1,FINAL_NER_2025_17_01/Glossary/Portugal_Glossary.xlsx,Glossary,35
Name,Alexandra Leitão,Alexandra Leitão,Socialist Party,Portugal,1,FINAL_NER_2025_17_01/Glossary/Portugal_Glossary.xlsx,Glossary,36
Name,Simon Harris,Simon Harris,Fine Gael,Ireland,1,FINAL_NER_2025_17_01/Glossary/Portugal_Glossary.xlsx,Glossary,37
Party,Republic,Republic of Ireland,Republic,Unknown,0,FINAL_NER_2025_17_01/Glossary/Portugal_Glossary.xlsx,Glossary,38
Name,João Oliveira,"joão Oliverira, João Oliveira, João Oliverira",Unitary Democratic Coalition,Portugal,1,FINAL_NER_2025_17_01/Glossary/Portugal_Glossary.xlsx,Glossary,39
Name,Pedro Frazão,"Pedro Frasão, Pdero Frazão, Pedro Frazão",Enough,Portugal,1,FINAL_NER_2025_17_01/Glossary/Portugal_Glossary.xlsx,Glossary,40
Name,Bruno Nunes,Bruno Nunes,Enough,Portugal,1,FINAL_NER_2025_17_01/Glossary/Portugal_Glossary.xlsx,Glossary,41
Name,Pedro Pinto,Pedro Pinto,Enough,Portugal,1,FINAL_NER_2025_17_01/Glossary/Portugal_Glossary.xlsx,Glossary,42
Party,Left Bloc,BE,Left Bloc,Unknown,0,FINAL_NER_2025_17_01/Glossary/Portugal_Glossary.xlsx,Glossary,43
