Type,Entry,Variations,Party,Country,EU,source_file,source_sheet,source_row
Name,Santiago Abascal,"abascal, Abascal, Santiago Abascal",VOX,Spain,1,FINAL_NER_2025_17_01/Glossary/Spain_Glossary.xlsx,Glossary,2
Party,Vox,"Vox, VOX Baleares, Vox Tarragona, vox, VOX",Vox,Unknown,0,FINAL_NER_2025_17_01/Glossary/Spain_Glossary.xlsx,Glossary,3
Party,People's Party,"pp avila, pp, PP, Partido Popular",People's Party,Unknown,0,FINAL_NER_2025_17_01/Glossary/Spain_Glossary.xlsx,Glossary,4
Party,Republics Now,"Bildu, Ahora Repúblicas, ERC",Republics Now,Unknown,0,FINAL_NER_2025_17_01/Glossary/Spain_Glossary.xlsx,Glossary,5
Name,Javier Milei,"milei, Milei, Javier Milei",Freedom Advances,Argentina,0,FINAL_NER_2025_17_01/Glossary/Spain_Glossary.xlsx,Glossary,6
Name,Esteban González Pons,Esteban González Pons,People's Party,Spain,1,FINAL_NER_2025_17_01/Glossary/Spain_Glossary.xlsx,Glossary,7
Name,Ione Belarra,"Ione Belarra, ione belarra, ione Belarra, Ione Belorre, Ione Belara",Podemos,Spain,1,FINAL_NER_2025_17_01/Glossary/Spain_Glossary.xlsx,Glossary,8
Name,Isa Serra,"isaserras, isa serra, Isa Serra",Podemos,Spain,1,FINAL_NER_2025_17_01/Glossary/Spain_Glossary.xlsx,Glossary,9
Name,José Manuel Albares,"José Manuel Albares, Jose Manuel Albares",Spanish Socialist Workers' Party,Spain,1,FINAL_NER_2025_17_01/Glossary/Spain_Glossary.xlsx,Glossary,10
Name,José Luis Rodríguez Zapatero,"Rodríguez Zapatero, José Luis Rodríguez Zapatero, JL Rodriguez Zapatero, JL Rodríguez Zapatero, zapatero, JL. Rodríguez Zapatero, R. Zapatero, Zapatero",Spanish Socialist Workers' Party,Spain,1,FINAL_NER_2025_17_01/Glossary/Spain_Glossary.xlsx,Glossary,11
Name,Gabriel Rufián,"Gabriel Rufrián, Rufián, Gabriel Rufián",Republican Left of Catalonia,Spain,1,FINAL_NER_2025_17_01/Glossary/Spain_Glossary.xlsx,Glossary,12
Name,Jimmie Åkesson,Jimmie Åkesson,Sweden Democrats,Sweden,1,FINAL_NER_2025_17_01/Glossary/Spain_Glossary.xlsx,Glossary,13
Name,Markus Allard,Markus Allard,Örebro Party,Sweden,1,FINAL_NER_2025_17_01/Glossary/Spain_Glossary.xlsx,Glossary,14
Party,Sweden Democrats,"Sweden Democrat, Sweden Democrats",Sweden Democrats,Unknown,0,FINAL_NER_2025_17_01/Glossary/Spain_Glossary.xlsx,Glossary,15
Name,Julien Sanchez,"Sanchez, P. Sanchez",National Rally,France,1,FINAL_NER_2025_17_01/Glossary/Spain_Glossary.xlsx,Glossary,16
Party,Spanish Socialist Workers' Party,"psoe burgos, Psoe, psoe, PSOE",Spanish Socialist Workers' Party,Unknown,0,FINAL_NER_2025_17_01/Glossary/Spain_Glossary.xlsx,Glossary,17
Name,Alberto Núñez Feijóo,"Feijóo, Alberto Núñez Feijo, Feiijóo, Feijoo, feijoo, Alberto Núñez Feijoo, Alberto Sánchez Feijoo",Spanish People's Party,Spain,1,FINAL_NER_2025_17_01/Glossary/Spain_Glossary.xlsx,Glossary,18
Name,Jorge Buxadé,"jprge buxade, Buxadé, Jorge Buxadé, Jorge Buxade",Vox,Spain,1,FINAL_NER_2025_17_01/Glossary/Spain_Glossary.xlsx,Glossary,19
Name,Pedro Sánchez,"pedro sanchez, Pedro Sánchez, pedro sánchez, pedrosanchez, Pedro Sanchez, peedro sanchez",Spanish Socialist Workers' Party,Spain,1,FINAL_NER_2025_17_01/Glossary/Spain_Glossary.xlsx,Glossary,20
Name,Oriol Junqueras,Oriol Junqueras,Republican Left of Catalonia,Spain,1,FINAL_NER_2025_17_01/Glossary/Spain_Glossary.xlsx,Glossary,21
Name,Maria Montero,"Maria Jesus Montero, Maria Montero, Maria Jesús Montero",Spanish Socialist Workers' Party,Spain,1,FINAL_NER_2025_17_01/Glossary/Spain_Glossary.xlsx,Glossary,22
Name,Félix Bolaños,"Bolaños, F Bolaños",Spanish Socialist Workers' Party,Spain,1,FINAL_NER_2025_17_01/Glossary/Spain_Glossary.xlsx,Glossary,23
Name,Yolanda Díaz Pérez,"yolanda díaz, Yolanda Día, Yolanda Díaz, Yolanda Dáz",Sumar,Spain,1,FINAL_NER_2025_17_01/Glossary/Spain_Glossary.xlsx,Glossary,24
Name,Jean-Marie Le Pen,Le Pen,Comités Jeanne,France,1,FINAL_NER_2025_17_01/Glossary/Spain_Glossary.xlsx,Glossary,25
Name,Íñigo Errejón,"errejon, Íñigo Errejón, Iñigo Errejón, Errejon, I Errejón, Errejón",SUMAR,Spain,1,FINAL_NER_2025_17_01/Glossary/Spain_Glossary.xlsx,Glossary,26
Name,Teresa Ribera,"Teresa Rivera, Teresa Ribera",Spanish Socialist Workers' Party,Spain,1,FINAL_NER_2025_17_01/Glossary/Spain_Glossary.xlsx,Glossary,27
Name,Javier Ortega Smith,"Javier Ortega Smith, Ortega Smith",Vox,Spain,1,FINAL_NER_2025_17_01/Glossary/Spain_Glossary.xlsx,Glossary,28
Party,The Forgotten Spain Exists–Municipalists–Fair World,"Spain, Existe Coalición",The Forgotten Spain Exists–Municipalists–Fair World,Unknown,0,FINAL_NER_2025_17_01/Glossary/Spain_Glossary.xlsx,Glossary,29
Name,André Ventura,"André Ventura, Andre Ventura",Enough,Portugal,1,FINAL_NER_2025_17_01/Glossary/Spain_Glossary.xlsx,Glossary,30
Name,Chega!,"Chega, Chega!",Enough,Portugal,1,FINAL_NER_2025_17_01/Glossary/Spain_Glossary.xlsx,Glossary,31
Name,Volt Portugal,Portugal,Volt Portugal,Portugal,1,FINAL_NER_2025_17_01/Glossary/Spain_Glossary.xlsx,Glossary,32
Name,Sumar,"Sumar, sumar, SUMAR, sumar almeria",Unite,Unknown,0,FINAL_NER_2025_17_01/Glossary/Spain_Glossary.xlsx,Glossary,33
