Type,Entry,Variations,Party,Country,EU,source_file,source_sheet,source_row
Name,Tomas Tobé,"Tomas Tobe, Tomas Tobé, Tobias Tobé",Moderate Party,Sweden,1,FINAL_NER_2025_17_01/Glossary/Sweden_Glossary.xlsx,Glossary,2
Party,,,,Unknown,0,FINAL_NER_2025_17_01/Glossary/Sweden_Glossary.xlsx,Glossary,3
Name,Magdalena Andersson,"Magdalena Andersson, magdalena andersson, Magda Anderson, Magda Andersson, Magdalena Anderson",The Social Democrats,Sweden,1,FINAL_NER_2025_17_01/Glossary/Sweden_Glossary.xlsx,Glossary,4
Name,Socialdemokraterna,"Socialdemokraterna, Socialdemokrater, socialdemokrater",Socialdemokraterna,Sweden,1,FINAL_NER_2025_17_01/Glossary/Sweden_Glossary.xlsx,Glossary,5
Name,Social Democrats,"Social democrats, Social Democrats, Soc democrats, The Social Democrats, social democrats, Social democrat",Social Democrats,Sweden,1,FINAL_NER_2025_17_01/Glossary/Sweden_Glossary.xlsx,Glossary,6
Name,Jimmie Åkesson,"Jimmie Åkesson, jimmie åkesson, JImmie Åkesson, Jimmie Äkesson, Jimmy Åkesson",Sweden Democrats,Sweden,1,FINAL_NER_2025_17_01/Glossary/Sweden_Glossary.xlsx,Glossary,7
Party,Sweden Democrats,"SD, Sweden Democrats, sverigedemokraterna, sverigedemokrater, Swedem Democrats, Sverigedemokraterna",Sweden Democrats,Unknown,0,FINAL_NER_2025_17_01/Glossary/Sweden_Glossary.xlsx,Glossary,8
Name,Nooshi Dadgostar,"Nooshi Hahgostar, Nooshi Dadgostar, Nooshi D, Nooshi, Nooshi D., ooshi Dadgostar, Nooshi Dadgistar",Left Party,Sweden,1,FINAL_NER_2025_17_01/Glossary/Sweden_Glossary.xlsx,Glossary,9
Name,Jonas Sjöstedt,"jonas, Jonas Sjöstedt, Jonas S, Jonas S.",The Left Party,Sweden,1,FINAL_NER_2025_17_01/Glossary/Sweden_Glossary.xlsx,Glossary,10
Name,Vänsterpartiet,"Vänsterpartiet, Vänsterpartier, Centerpartiet, Vänsterparti, centerpartiet, vänsterpartiet",Left Party,Sweden,1,FINAL_NER_2025_17_01/Glossary/Sweden_Glossary.xlsx,Glossary,11
Party,Folklistan,Folklistan,Folklistan,Unknown,0,FINAL_NER_2025_17_01/Glossary/Sweden_Glossary.xlsx,Glossary,12
Name,Maria Rosander,"Mara Rosander, Maria Rosander, Marie Rosander",Sweden Democrats,Sweden,1,FINAL_NER_2025_17_01/Glossary/Sweden_Glossary.xlsx,Glossary,13
Name,Ulf Kristersson,"Ulfr Kristersson, Ulf Kristersson, ulf kristersson",The Moderate Party,Sweden,1,FINAL_NER_2025_17_01/Glossary/Sweden_Glossary.xlsx,Glossary,14
Party,Moderate Party,"Moderate Party, M, The Moderate Party",Moderate Party,Unknown,0,FINAL_NER_2025_17_01/Glossary/Sweden_Glossary.xlsx,Glossary,15
Name,Karin Karlsbro,"Karin Karlsbro, Karin Karlsberg, Katin Karlsbro",The Liberals,Sweden,1,FINAL_NER_2025_17_01/Glossary/Sweden_Glossary.xlsx,Glossary,16
Party,Liberals,"Liberals, L, (L)",Liberals,Unknown,0,FINAL_NER_2025_17_01/Glossary/Sweden_Glossary.xlsx,Glossary,17
Name,Martin Melin,Martin Melin,Liberalerna,Sweden,1,FINAL_NER_2025_17_01/Glossary/Sweden_Glossary.xlsx,Glossary,18
