Party_English,Paty_OwnLanguage,Abbreviation,country_names,source_file,source_sheet,source_row
GERB–SDS,ГЕРБ-СДС,GERB-SDS,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,2
Movement for Rights and Freedoms,Движение за права и свободи,DPS,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,3
We Continue the Change – Democratic Bulgaria,Продължаваме промяната - Демократична България,PP-DB,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,4
Vazrazhdane (Revival),Възраждане,Revival,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,5
BSP for Bulgaria,Българска социалистическа партия за България,BSPb,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,6
There is Such a People,Има такъв народ,ITN,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,7
Velichie,Величие,Velichie,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,8
"Morality, Unity, Honour","Морал, Единство, Чест",MORALE,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,9
VMRO – Bulgarian National Movement,Българско национално движение,VMRO-BND,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,10
Blue Bulgaria[bg],Синя България,BB,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,11
Solidary Bulgaria,Солидарна България,SB,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,12
Center,Център,Center,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,13
Party of the Greens,Партия на Зелените,Greens,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,14
Independent candidate Kuzman Iliev,Независим кандидат Кузман Илиев,NA,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,15
The Left!,Левицата,The Left,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,16
Bulgarian Rise,Български възход,BV,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,17
Green Movement,Зелено движение,Greens,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,18
People's Voice,Народен глас,PV,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,19
Direct Democracy[bg],Пряка демокрация,DD,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,20
We Are Coming,Идваме,We are Coming,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,21
We the Citizens,"Ние, Гражданите",WC,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,22
Unification,Обединение,Unification,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,23
Bulgarian Voice,Български глас,BV,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,24
Citizens Bloc,Граждански блок,CB,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,25
Coalition of the Rose[bg],Коалиция на розата,CR,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,26
Society for a New Bulgaria[bg],Общество за нова България,SNB,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,27
Bulgarian National Union – New Democracy,Български национален съюз – Нова демокрация,BNU-ND,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,28
For a Great Bulgaria,За велика България,FGB,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,29
"People's Party ""Truth and Only the Truth""[bg]",Народна партия Истината и само истината,PPTOT,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,30
Bulgarian National Unification,Българско национално обединение,BNU,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,31
Bulgarian Union for Direct Democracy[bg],Български съюз за пряка демокрация,BUDD,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,32
GERB—SDS,ГЕРБ-СДС,GERB—SDS,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,33
Bulgarian Socialist Party,Българска социалистическа партия,BSP,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,34
Movement for Rights and Freedoms,Движение за права и свободи,DPS,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,35
IMRO – Bulgarian National Movement,ВМРО – Българско национално движение,VMRO,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,36
Democratic Bulgaria,Демократична България,DB,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,37
Volya Movement,Движение Воля,Volya,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,38
Patriots for Valeri Simeonov (NFSB–SEK),Патриоти за Валери Симеонов (НФСБ–СЕК),NFSB-SEK,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,39
NDSV–New Time,НДСВ–Ново време,NDSV-NV,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,40
Attack,Атака,Attack,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,41
Revival,Възраждане,Revival,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,42
Coalition for Bulgaria,Коалиция за България,KZB,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,43
"Democrats for Responsibility, Solidarity and Tolerance","Демократи за отговорност, солидарност и толерантност",DOST,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,44
People's Voice,Народен глас,NV,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,45
Party of Greens,Партия на Зелените,Greens,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,46
Movement 21,Движение 21,D21,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,47
Reload Bulgaria,Презареди България,RB,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,48
