Candidate,Party,Country,extra info,source_file,source_sheet,source_row
Iliya Lazarov,GERB–Union of Democratic Forces,Bulgaria,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,2
Andrey Kovatchev,GERB–Union of Democratic Forces,Bulgaria,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,3
Andrey Novakov,GERB–Union of Democratic Forces,Bulgaria,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,4
Emil Radev,GERB–Union of Democratic Forces,Bulgaria,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,5
Eva Maydell,GERB–Union of Democratic Forces,Bulgaria,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,6
Taner Kabilov,Movement for Rights and Freedom,Bulgaria,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,7
Ilhan Kyuchyuk,Movement for Rights and Freedom,Bulgaria,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,8
Elena Yoncheva,Movement for Rights and Freedom,Bulgaria,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,9
Nikola Minchev,We Continue the Change,Bulgaria,Democratic Bulgaria,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,10
Hristo Petrov,We Continue the Change,Bulgaria,Democratic Bulgaria,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,11
Radan Kanev,We Continue the Change,Bulgaria,Democratic Bulgaria,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,12
Stanislav Stoyanov,Vazrazhdane,Bulgaria,Revival,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,13
Petar Volgin[bg],Vazrazhdane,Bulgaria,Revival,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,14
Rada Laykova,Vazrazhdane,Bulgaria,Revival,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,15
Kristian Vigenin,BSP for Bulgaria,Bulgaria,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,16
Tsvetelina Penkova,BSP for Bulgaria,Bulgaria,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,17
Ivaylo Valchev,There Is Such a People,Bulgaria,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,18
Davor Ivo Stier,Croatian Democratic Union,Croatia,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,19
Karlo Ressler,Croatian Democratic Union,Croatia,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,20
Nikolina Brnjac,Croatian Democratic Union,Croatia,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,21
Željana Zovko,Croatian Democratic Union,Croatia,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,22
Sunčana Glavak,Croatian Democratic Union,Croatia,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,23
Tomislav Sokol,Croatian Democratic Union,Croatia,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,24
Biljana Borzan,Social Democratic Party of Croatia,Croatia,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,25
Predrag Matić,Social Democratic Party of Croatia,Croatia,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,26
Romana Jerković,Social Democratic Party of Croatia,Croatia,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,27
Tonino Picula,Social Democratic Party of Croatia,Croatia,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,28
Stephen Bartulica,Homeland Movement,Croatia,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,29
Gordan Bosanac,We Can!,Croatia,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,30
"Aaltola, Mika",National Coalition Party,Finland,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,31
"Virkkunen, Henna",National Coalition Party,Finland,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,32
"Toveri, Pekka",National Coalition Party,Finland,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,33
"Salla, Aura",National Coalition Party,Finland,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,34
"Tynkkynen, Sebastian",Finns Party,Finland,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,35
"Heinäluoma, Eero",Social Democratic Party of Finland,Finland,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,36
"Guzenina, Maria",Social Democratic Party of Finland,Finland,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,37
"Katainen, Elsi",Centre Party,Finland,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,38
"Kulmuni, Katri",Centre Party,Finland,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,39
"Niinistö, Ville",Green League,Finland,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,40
"Ohisalo, Maria",Green League,Finland,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,41
"Andersson, Li",Left Alliance,Finland,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,42
"Kyllönen, Merja",Left Alliance,Finland,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,43
"Saramo, Jussi",Left Alliance,Finland,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,44
"Henriksson, Anna-Maja",Swedish People's Party of Finland,Finland,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,45
Jordan Bardella,National Rally,France,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,46
Malika Sorel,National Rally,France,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,47
Fabrice Leggeri,National Rally,France,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,48
Mathilde Androuët,National Rally,France,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,49
Jean-Paul Garraud,National Rally,France,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,50
Mélanie Disdier,National Rally,France,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,51
Matthieu Valet,National Rally,France,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,52
Anne-Sophie Frigout,National Rally,France,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,53
Thierry Mariani,National Rally,France,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,54
Pascale Piera,National Rally,France,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,55
Philippe Olivier,National Rally,France,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,56
Marie-Luce Brasier-Clain,National Rally,France,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,57
Alexandre Varaut,National Rally,France,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,58
Catherine Griset,National Rally,France,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,59
Gilles Pennelle,National Rally,France,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,60
Virginie Joron,National Rally,France,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,61
Julien Sanchez,National Rally,France,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,62
Julie Rechagneux,National Rally,France,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,63
Aleksandar Nikolic,National Rally,France,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,64
Valérie Deloge,National Rally,France,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,65
Rody Tolassy,National Rally,France,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,66
Marie Dauchy,National Rally,France,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,67
Pierre-Romain Thionnet,National Rally,France,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,68
Pierre Pimpie,National Rally,France,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,69
Sylvie Josserand,National Rally,France,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,70
Julien Leonardelli,National Rally,France,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,71
Angéline Furet,National Rally,France,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,72
Gaëtan Dussausaye,National Rally,France,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,73
France Jamet,National Rally,France,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,74
André Rougé,National Rally,France,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,75
Valérie Hayer,Common Good of Europeans,France,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,76
Bernard Guetta,Common Good of Europeans,France,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,77
Marie-Pierre Vedrenne,Common Good of Europeans,France,,Cleaned_NER_files/mep_party_cleaned2(1).xlsx,Sheet1,78
