Candidate,Party,Country,source_file,source_sheet,source_row
Abir Al-Sahlani, Centre Party,Sweden,mep_party_cleaned3 (1).xlsx,Sheet1,2
Adam Bielan,Law and Justice,Poland,mep_party_cleaned3 (1).xlsx,Sheet1,3
Adam Bodnar,Independent,Poland,mep_party_cleaned3 (1).xlsx,Sheet1,4
Adam Jarubas,Third Way,Poland,mep_party_cleaned3 (1).xlsx,Sheet1,5
Adam Schiff,Democratic Party,United States,mep_party_cleaned3 (1).xlsx,Sheet1,6
Adnan Dibrani,Swedish Social Democratic Workers' Party,Sweden,mep_party_cleaned3 (1).xlsx,Sheet1,7
Adrian Ramsay,Green Party,United Kingdom,mep_party_cleaned3 (1).xlsx,Sheet1,8
Adrián Vázquez Lázara,People's Party,Spain,mep_party_cleaned3 (1).xlsx,Sheet1,9
Adrian Zandberg,The Left,Poland,mep_party_cleaned3 (1).xlsx,Sheet1,10
Agnieszka Dziemianowicz-Bąk,The Left,Poland,mep_party_cleaned3 (1).xlsx,Sheet1,11
Ahmed Dogan,Movement for Rights and Freedoms,Bulgaria,mep_party_cleaned3 (1).xlsx,Sheet1,12
Aida Badeli,Green Party,Sweden,mep_party_cleaned3 (1).xlsx,Sheet1,13
Aino-Kaisa Pekonen,Left Alliance,Finland,mep_party_cleaned3 (1).xlsx,Sheet1,14
Ákos Hadházy,Independent,Hungary,mep_party_cleaned3 (1).xlsx,Sheet1,15
Albert Einstein,Not applicable,Germany,mep_party_cleaned3 (1).xlsx,Sheet1,16
Albert Rivera,Citizens,Spain,mep_party_cleaned3 (1).xlsx,Sheet1,17
Alberto Núñez Feijóo,People's Party,Spain,mep_party_cleaned3 (1).xlsx,Sheet1,18
Alberto Núñez Feijóo,Spanish People's Party,Spain,mep_party_cleaned3 (1).xlsx,Sheet1,19
Alberto Núñez Feijóo,People's Party,Spain,mep_party_cleaned3 (1).xlsx,Sheet1,20
Albrecht Glaser,Alternative for Germany,Germany,mep_party_cleaned3 (1).xlsx,Sheet1,21
Alejandro Gutiérrez,Others,Spain,mep_party_cleaned3 (1).xlsx,Sheet1,22
Aleksandar Nikolic,National Rally,France,mep_party_cleaned3 (1).xlsx,Sheet1,23
Aleksandar Tomov,Bulgarian Social Democratic Party,Bulgaria,mep_party_cleaned3 (1).xlsx,Sheet1,24
Aleksandar Vučić,Serbian Progressive Party,Serbia,mep_party_cleaned3 (1).xlsx,Sheet1,25
Aleksander Kwaśniewski,Social Democracy of Poland,Poland,mep_party_cleaned3 (1).xlsx,Sheet1,26
Aleksander Miszalski,Civic Platform,Poland,mep_party_cleaned3 (1).xlsx,Sheet1,27
Aleksandra Wiśniewska,Civic Coalition,Poland,mep_party_cleaned3 (1).xlsx,Sheet1,28
Aleksanteri Gustafsson,Social Democratic Party of Finland,Finland,mep_party_cleaned3 (1).xlsx,Sheet1,29
Alessandra Todde,Five Star Movement,Italy,mep_party_cleaned3 (1).xlsx,Sheet1,30
Alexander Bard,Liberals,Sweden,mep_party_cleaned3 (1).xlsx,Sheet1,31
Alexander De Croo,Open Flemish Liberals and Democrats,Belgium,mep_party_cleaned3 (1).xlsx,Sheet1,32
Alexander Gauland,Alternative for Germany,Germany,mep_party_cleaned3 (1).xlsx,Sheet1,33
Alexander Jungbluth,Alternative for Germany,Germany,mep_party_cleaned3 (1).xlsx,Sheet1,34
Alexander Lukashenko,Independent,Belarus,mep_party_cleaned3 (1).xlsx,Sheet1,35
Alexander Sell,Alternative for Germany,Germany,mep_party_cleaned3 (1).xlsx,Sheet1,36
Alexander Simidchiev,We Continue the Change – Democratic Bulgaria,Bulgaria,mep_party_cleaned3 (1).xlsx,Sheet1,37
Alexander Stubb,National Coalition Party,Finland,mep_party_cleaned3 (1).xlsx,Sheet1,38
Alexander Tomov,Coalition of the Roses,Bulgaria,mep_party_cleaned3 (1).xlsx,Sheet1,39
Alexandra Geese,Alliance 90/The Greens,Germany,mep_party_cleaned3 (1).xlsx,Sheet1,40
Alexandra Leitão,Partido Socialista,Portugal,mep_party_cleaned3 (1).xlsx,Sheet1,41
Alexandra Mehnert,Christian Democratic Union of Germany,Germany,mep_party_cleaned3 (1).xlsx,Sheet1,42
Alexandra Pascalidou,Others,Sweden,mep_party_cleaned3 (1).xlsx,Sheet1,43
Alexandre Varaut,National Rally,France,mep_party_cleaned3 (1).xlsx,Sheet1,44
Alexandria Ocasio-Cortez,Democratic Party,United States,mep_party_cleaned3 (1).xlsx,Sheet1,45
Alf Svensson,Christian Democrats,Sweden,mep_party_cleaned3 (1).xlsx,Sheet1,46
Alfonso Rojo,,Spain,mep_party_cleaned3 (1).xlsx,Sheet1,47
Alfonso Rueda,People's Party,Spain,mep_party_cleaned3 (1).xlsx,Sheet1,48
Alfonso Serrano,People's Party,Spain,mep_party_cleaned3 (1).xlsx,Sheet1,49
Aliança Democrática,Aliança Democrática,Portugal,mep_party_cleaned3 (1).xlsx,Sheet1,50
Alice Bah Kuhnke, Green Party ,Sweden,mep_party_cleaned3 (1).xlsx,Sheet1,51
Alice Teodorescu Måwe,Christian Democrats,Sweden,mep_party_cleaned3 (1).xlsx,Sheet1,52
Alice Weidel,Alternative for Germany,Germany,mep_party_cleaned3 (1).xlsx,Sheet1,53
Alicia García,People's Party,Spain,mep_party_cleaned3 (1).xlsx,Sheet1,54
Alicia Homs Ginel,Spanish Socialist Workers' Party,Spain,mep_party_cleaned3 (1).xlsx,Sheet1,55
Alicja Lepkowska-Golas,Civic Platform,Poland,mep_party_cleaned3 (1).xlsx,Sheet1,56
Alina Dobreva,Others,Bulgaria,mep_party_cleaned3 (1).xlsx,Sheet1,57
Alliance 90/The Greens,Alliance 90/The Greens,Germany,mep_party_cleaned3 (1).xlsx,Sheet1,58
Alma Dufour,La France Insoumise,France,mep_party_cleaned3 (1).xlsx,Sheet1,59
Alma Ezcurra,People's Party,Spain,mep_party_cleaned3 (1).xlsx,Sheet1,60
