Type,Entry,Variations,source_file,source_sheet,source_row
Name,ADN,ADN (portugal),cleaned_file.xlsx,Sheet1,2
Name,ALDE Party,"ALDE (finland), ALDE (croatia), ALDE Party (croatia), Alde (croatia)",cleaned_file.xlsx,Sheet1,3
Name,AMLO,AMLO (spain),cleaned_file.xlsx,Sheet1,4
Name,ARD ZDF Deutschlandradio Beitragsservice (commonly known as GEZ),GEZ (germany),cleaned_file.xlsx,Sheet1,5
Name,"Aaltola, Mika","Mika Aaltola (finland), Aaltola (finland)",cleaned_file.xlsx,Sheet1,6
Name,Abir Al-Sahlani,"Abir al Sahlani (sweden), Abir al-sahlani (sweden), Abir Al-Sahlani (sweden), Abir al-Sahlani (sweden), abiralsahlani (sweden), abir al-sahlani (sweden), Abir Alsahlani (croatia)",cleaned_file.xlsx,Sheet1,7
Name,Adam Bielan,A. Bielan (poland),cleaned_file.xlsx,Sheet1,8
Name,Adam Jarubas,"A. Jarubas (poland), A A. Jarubas (poland)",cleaned_file.xlsx,Sheet1,9
Name,Adnan Dibrani,"Adnan Dibrani (sweden), adnan dibrani (sweden)",cleaned_file.xlsx,Sheet1,10
Name,Adrian Ramsay,"Adrian Ramsey (croatia), Adrian Ramsay (croatia)",cleaned_file.xlsx,Sheet1,11
Name,Adrian Zandberg,Adrian Zandberg (poland),cleaned_file.xlsx,Sheet1,12
Name,Agnieszka Dziemianowicz-Bąk,Dziemianowicz-Bąk (poland),cleaned_file.xlsx,Sheet1,13
Name,Ahmed Dogan,Ahmed Dogan (bulgaria),cleaned_file.xlsx,Sheet1,14
Name,Aida Badeli,"Aida Badeli (sweden), Aiga Badeli (sweden)",cleaned_file.xlsx,Sheet1,15
Name,Aino-Kaisa Pekonen,Aino-Kaisa Pekonen (finland),cleaned_file.xlsx,Sheet1,16
Name,Albert Einstein,Einstein (germany),cleaned_file.xlsx,Sheet1,17
Name,Albert Rivera,Albert Rivera (spain),cleaned_file.xlsx,Sheet1,18
Name,Alberto Núñez Feijóo,"Feijóo (spain), Alberto Núñez Feijo (spain)",cleaned_file.xlsx,Sheet1,19
Name,Albrecht Glaser,Albrecht Glaser (germany),cleaned_file.xlsx,Sheet1,20
Name,Alejandro Gutiérrez,alejandro gutiérrez (spain),cleaned_file.xlsx,Sheet1,21
Name,Aleksandar Tomov,Aleksandar Tomov (bulgaria),cleaned_file.xlsx,Sheet1,22
Name,Aleksandar Vučić,Aleksandar Vučić (croatia),cleaned_file.xlsx,Sheet1,23
Name,Aleksander Kwaśniewski,"Aleksandr Kwasniewski (poland), Kwaśniewski (poland)",cleaned_file.xlsx,Sheet1,24
Name,Aleksandra Wiśniewska,Aleksandra Wisniewska (poland),cleaned_file.xlsx,Sheet1,25
Name,Aleksanteri Gustafsson,"Gustafsson (finland), Aleksanteri Gustafsson (finland), Aleksanteri Gustaffson (finland)",cleaned_file.xlsx,Sheet1,26
Name,Alessandra Todde,Alessandra Todde (croatia),cleaned_file.xlsx,Sheet1,27
Name,Alexander Stubb,Alex Stubb (finland),cleaned_file.xlsx,Sheet1,28
Name,Alexander Bard,Alexander Bard (sweden),cleaned_file.xlsx,Sheet1,29
Name,Alexander De Croo,"Alexander De Croo (portugal), Alexander de Croo (croatia)",cleaned_file.xlsx,Sheet1,30
Name,Alexander Gauland,Alexander Gauland (germany),cleaned_file.xlsx,Sheet1,31
Name,Alexander Tomov,Alexander Tomov (bulgaria),cleaned_file.xlsx,Sheet1,32
Name,Alexandra Leitão,Alexandra Leitão (portugal),cleaned_file.xlsx,Sheet1,33
Name,Alexandra Pascalidou,Alexandra Pascalidou (sweden),cleaned_file.xlsx,Sheet1,34
Name,Alexandria Ocasio-Cortez,"Alexandria Ocasio-Cortez (sweden), Alexandria Ocasio-Cortez (germany), Alexandria Ocasio-Cortez (croatia), Alexandria Ocasio-Cortez (portugal)",cleaned_file.xlsx,Sheet1,35
Name,Alf Svensson,Alf Svensson (sweden),cleaned_file.xlsx,Sheet1,36
Name,Alfonso Rojo,Alfonso Rojo (spain),cleaned_file.xlsx,Sheet1,37
Name,Alfonso Rueda,Alfonso Rueda (spain),cleaned_file.xlsx,Sheet1,38
Name,Alfonso Serrano,Alfonso Serrano (spain),cleaned_file.xlsx,Sheet1,39
Name,Aliança Democrática (AD),"AD (portugal), Aliança Democrática (portugal)",cleaned_file.xlsx,Sheet1,40
Name,Alice Bah Kuhnke,"alice bah kuhnke (sweden), Alice Bah (sweden), Alice bah Kuhnke (sweden), Alice Bah Kuhnke (sweden), alice Bah Kuhnke (sweden), Alice bah Kuhnken (sweden), Alice Bahn Kuhke (sweden), Alice Bahn Kuhnke (sweden), aloce bahm kuhke (sweden)",cleaned_file.xlsx,Sheet1,41
Name,Alice Teodorescu Måwe,"Alice teodorescu Måwe (sweden), alice teodorescu måwe (sweden), alice Teoderescu Måwe (sweden), Alice Teodorescu Måwe (sweden)",cleaned_file.xlsx,Sheet1,42
Name,Alice Weidel,"Alice Weidel (germany), Alice Weidel (spain), Weidel (germany)",cleaned_file.xlsx,Sheet1,43
