Type,Entry,Variations,source_file,source_sheet,source_row
Name,ADN,ADN (portugal),Glossary/NER_spain_glossary.xlsx,Glossary,2
Name,ALDE Party,"ALDE (finland), ALDE (croatia), ALDE Party (croatia), Alde (croatia)",Glossary/NER_spain_glossary.xlsx,Glossary,3
Name,AMLO,AMLO (spain),Glossary/NER_spain_glossary.xlsx,Glossary,4
Name,ARD ZDF Deutschlandradio Beitragsservice (commonly known as GEZ),GEZ (germany),Glossary/NER_spain_glossary.xlsx,Glossary,5
Name,"Aaltola, Mika","Mika Aaltola (finland), Aaltola (finland)",Glossary/NER_spain_glossary.xlsx,Glossary,6
Name,Abir Al-Sahlani,"Abir al Sahlani (sweden), Abir al-sahlani (sweden), Abir Al-Sahlani (sweden), Abir al-Sahlani (sweden), abiralsahlani (sweden), abir al-sahlani (sweden), Abir Alsahlani (croatia)",Glossary/NER_spain_glossary.xlsx,Glossary,7
Name,Adam Bielan,A. Bielan (poland),Glossary/NER_spain_glossary.xlsx,Glossary,8
Name,Adam Jarubas,"A. Jarubas (poland), A A. Jarubas (poland)",Glossary/NER_spain_glossary.xlsx,Glossary,9
Name,Adnan Dibrani,"Adnan Dibrani (sweden), adnan dibrani (sweden)",Glossary/NER_spain_glossary.xlsx,Glossary,10
Name,Adrian Ramsay,"Adrian Ramsey (croatia), Adrian Ramsay (croatia)",Glossary/NER_spain_glossary.xlsx,Glossary,11
Name,Adrian Zandberg,Adrian Zandberg (poland),Glossary/NER_spain_glossary.xlsx,Glossary,12
Name,Agnieszka Dziemianowicz-Bąk,Dziemianowicz-Bąk (poland),Glossary/NER_spain_glossary.xlsx,Glossary,13
Name,Ahmed Dogan,Ahmed Dogan (bulgaria),Glossary/NER_spain_glossary.xlsx,Glossary,14
Name,Aida Badeli,"Aida Badeli (sweden), Aiga Badeli (sweden)",Glossary/NER_spain_glossary.xlsx,Glossary,15
Name,Aino-Kaisa Pekonen,Aino-Kaisa Pekonen (finland),Glossary/NER_spain_glossary.xlsx,Glossary,16
Name,Albert Einstein,Einstein (germany),Glossary/NER_spain_glossary.xlsx,Glossary,17
Name,Albert Rivera,Albert Rivera (spain),Glossary/NER_spain_glossary.xlsx,Glossary,18
Name,Alberto Núñez Feijóo,"Feijóo (spain), Alberto Núñez Feijo (spain)",Glossary/NER_spain_glossary.xlsx,Glossary,19
Name,Albrecht Glaser,Albrecht Glaser (germany),Glossary/NER_spain_glossary.xlsx,Glossary,20
Name,Alejandro Gutiérrez,alejandro gutiérrez (spain),Glossary/NER_spain_glossary.xlsx,Glossary,21
Name,Aleksandar Tomov,Aleksandar Tomov (bulgaria),Glossary/NER_spain_glossary.xlsx,Glossary,22
Name,Aleksandar Vučić,Aleksandar Vučić (croatia),Glossary/NER_spain_glossary.xlsx,Glossary,23
Name,Aleksander Kwaśniewski,"Aleksandr Kwasniewski (poland), Kwaśniewski (poland)",Glossary/NER_spain_glossary.xlsx,Glossary,24
Name,Aleksandra Wiśniewska,Aleksandra Wisniewska (poland),Glossary/NER_spain_glossary.xlsx,Glossary,25
Name,Aleksanteri Gustafsson,"Gustafsson (finland), Aleksanteri Gustafsson (finland), Aleksanteri Gustaffson (finland)",Glossary/NER_spain_glossary.xlsx,Glossary,26
Name,Alessandra Todde,Alessandra Todde (croatia),Glossary/NER_spain_glossary.xlsx,Glossary,27
Name,Alex Stubb,Alex Stubb (finland),Glossary/NER_spain_glossary.xlsx,Glossary,28
Name,Alexander Bard,Alexander Bard (sweden),Glossary/NER_spain_glossary.xlsx,Glossary,29
Name,Alexander De Croo,"Alexander De Croo (portugal), Alexander de Croo (croatia)",Glossary/NER_spain_glossary.xlsx,Glossary,30
Name,Alexander Gauland,Alexander Gauland (germany),Glossary/NER_spain_glossary.xlsx,Glossary,31
Name,Alexander Stubb,"Alexander Stubb (finland), Stubb (finland)",Glossary/NER_spain_glossary.xlsx,Glossary,32
Name,Alexander Tomov,Alexander Tomov (bulgaria),Glossary/NER_spain_glossary.xlsx,Glossary,33
Name,Alexander Vuchich,Alexander Vuchich (bulgaria),Glossary/NER_spain_glossary.xlsx,Glossary,34
Name,Alexandra Leitão,Alexandra Leitão (portugal),Glossary/NER_spain_glossary.xlsx,Glossary,35
Name,Alexandra Pascalidou,Alexandra Pascalidou (sweden),Glossary/NER_spain_glossary.xlsx,Glossary,36
Name,Alexandria Ocasio-Cortez,"Alexandria Ocasio-Cortez (sweden), Alexandria Ocasio-Cortez (germany), Alexandria Ocasio-Cortez (croatia), Alexandria Ocasio-Cortez (portugal)",Glossary/NER_spain_glossary.xlsx,Glossary,37
Name,Alf Svensson,Alf Svensson (sweden),Glossary/NER_spain_glossary.xlsx,Glossary,38
Name,Alfonso Rojo,Alfonso Rojo (spain),Glossary/NER_spain_glossary.xlsx,Glossary,39
Name,Alfonso Rueda,Alfonso Rueda (spain),Glossary/NER_spain_glossary.xlsx,Glossary,40
Name,Alfonso Serrano,Alfonso Serrano (spain),Glossary/NER_spain_glossary.xlsx,Glossary,41
Name,Aliança Democrática (AD),"AD (portugal), Aliança Democrática (portugal)",Glossary/NER_spain_glossary.xlsx,Glossary,42
Name,Alice Bah Kuhnke,"alice bah kuhnke (sweden), Alice Bah (sweden), Alice bah Kuhnke (sweden), Alice Bah Kuhnke (sweden), alice Bah Kuhnke (sweden), Alice bah Kuhnken (sweden), Alice Bahn Kuhke (sweden), Alice Bahn Kuhnke (sweden), aloce bahm kuhke (sweden)",Glossary/NER_spain_glossary.xlsx,Glossary,43
Name,Alice Teodorescu Måwe,"Alice teodorescu Måwe (sweden), alice teodorescu måwe (sweden), alice Teoderescu Måwe (sweden), Alice Teodorescu Måwe (sweden)",Glossary/NER_spain_glossary.xlsx,Glossary,44
Name,Alice Weidel,"Alice Weidel (germany), Alice Weidel (spain), Weidel (germany)",Glossary/NER_spain_glossary.xlsx,Glossary,45
Name,Alicia García,"Alicia Gracia (spain), Alicia Garcia (spain), Alicia García Rodríguez (spain), Alicia García (spain)",Glossary/NER_spain_glossary.xlsx,Glossary,46
Name,Alicja Lepkowska-Golas,Alicja Lepkowska-Golas (poland),Glossary/NER_spain_glossary.xlsx,Glossary,47
Name,Alina Dobreva,Alina Dobreva (bulgaria),Glossary/NER_spain_glossary.xlsx,Glossary,48
Name,Alliance 90/The Greens (Die Grünen),"die Grünen (hungary), Die Grünen (germany), Grünen (hungary), Grünen (germany)",Glossary/NER_spain_glossary.xlsx,Glossary,49
Name,Alma Dufour,"Sebastien Delogu Mayer Habib Alma Dufour Emmanuel Macron Florian Philippot Gabriel Attal (france), Alma Dufour (france), Meyer Habib David Guiraud Mathilde Panot Louis Broyard Valerie Pecraisse Xavier Bellamy Alma Dufour (france), Alma Dufour (croatia), JL Melemchon Louis Boyard David Guiraud Alma Dufour V. Putin (france)",Glossary/NER_spain_glossary.xlsx,Glossary,50
Name,Alma Zadić,Alma Zadić (croatia),Glossary/NER_spain_glossary.xlsx,Glossary,51
Name,Almeida,"JL Martínez Almeida (spain), Almeida (spain)",Glossary/NER_spain_glossary.xlsx,Glossary,52
Name,Alternative for Germany (AfD),"AfD (germany), Afd (germany), AFD (germany), AfD (spain), AfD (bulgaria), AfD (hungary), AfD (finland), /AfD (germany)",Glossary/NER_spain_glossary.xlsx,Glossary,53
Name,Alvise Pérez,"Alvise pérez (spain), alviseperez (spain), Alvise Pérez (spain), Alvise (spain), alvise pérez (spain)",Glossary/NER_spain_glossary.xlsx,Glossary,54
Name,Amanda Lind,"Amanda Lind (sweden), Amanda Lindh (sweden)",Glossary/NER_spain_glossary.xlsx,Glossary,55
